v32[ 5 10],v22[0 5],v22[ 5 10],v32[0 5]
0.0177303572957382,0.0265388280559171,0.0374503601278023,0.0158361171252675
0.0161222671238857,0.0238310595699504,0.0320894932382469,0.0140998012616474
0.0136287821109982,0.0196438064884891,0.0287627396411468,0.0115298883042144
0.0132178127969184,0.0184731296637033,0.0317424517480833,0.0112315988388996
0.0186230012948756,0.0228715833474914,0.0306452762695487,0.0155044253149612
0.0198643165215012,0.0313826718342417,0.0456307214867182,0.0180238569297337
0.014497605849354,0.0199216718718386,0.0260411716499692,0.0128426568967218
0.0183217552055219,0.0224976186213019,0.038050283863151,0.0153487110741552
0.0146465573235997,0.0218016110126468,0.0355138444905391,0.0128081991645722
0.0131631645145804,0.0173228548883966,0.0296607371132141,0.0109595705620782
0.0164100596860125,0.0247767210774814,0.0354330704951601,0.0140301069950207
0.0243101276619307,0.0318833553632475,0.0462079109826528,0.0201485690613149
0.0158916427994293,0.0223584602480555,0.0340916098536255,0.0140558167517956
0.0144460433529975,0.0199447401572201,0.026413461380502,0.0118551737798764
0.014781305832544,0.0253617781794209,0.0380340342303691,0.0147892645667513
0.0149938829772938,0.0223631728167101,0.0306844780825541,0.0138850461540145
0.0166583416506064,0.0205163566591012,0.0370263272516025,0.0137050006260492
0.0152861257804421,0.0248603891892517,0.0356941684466838,0.0125617014670087
0.0175910047837485,0.0218973333747492,0.0361205135459929,0.0158284560191213
0.0225717244095213,0.0373209976759254,0.0470363846755733,0.0209800104788349
0.0200678796433364,0.0274158260427746,0.0345452962574564,0.0171409528471648
0.0195618022430059,0.0277916137153477,0.0473625072950385,0.0165453091936577
0.0141046221831347,0.02149027189509,0.0391929182473768,0.012853447318908
0.0147919538062983,0.0230266278977732,0.0402108717375545,0.0127104707865052
0.0149467653461484,0.0223484229445078,0.0401271165329091,0.01284775016774
0.013210776570086,0.022471766455388,0.0291531076407372,0.0099661466005076
0.0139336919286607,0.023961393348879,0.0366343320454653,0.0146701643485079
0.0101673103204468,0.0147783282908315,0.0210976279899158,0.0079213368742272
0.0153029854154974,0.0219288088067558,0.0387962934956402,0.013117617698778
0.0163545854174054,0.0256020609702989,0.0335180594634533,0.0151301236121693
0.0137546016737556,0.0220836737919961,0.0284351423541838,0.0143956018787973
0.01026924019331,0.016937581162446,0.0274496141227105,0.0090222833785815
0.0236741282714343,0.0316943688187251,0.0437998693761532,0.0201769681631525
0.0192350670482469,0.0250220367160984,0.036733233347096,0.0176490747712195
0.0180765410567466,0.0234864337628276,0.0369424221625066,0.0159336902335804
