"n","Dimension","Fold","Statistic","val"
"300",20,5,"cov",0.25
"400",20,5,"cov",0.596666666666667
"500",20,5,"cov",0.373333333333333
"300",25,5,"cov",0.713333333333333
"400",25,5,"cov",0.593333333333333
"500",25,5,"cov",0.483333333333333
"300",20,6,"cov",0.656666666666667
"400",20,6,"cov",0.633333333333333
"500",20,6,"cov",0.7
"300",25,6,"cov",0.356666666666667
"400",25,6,"cov",0.646666666666667
"500",25,6,"cov",0.546666666666667
"300",20,7,"cov",0.586666666666667
"400",20,7,"cov",0.4
"500",20,7,"cov",0.716666666666667
"300",25,7,"cov",0.636666666666667
"400",25,7,"cov",0.52
"500",25,7,"cov",0.553333333333333
"300",20,8,"cov",0.563333333333333
"400",20,8,"cov",0.626666666666667
"500",20,8,"cov",0.506666666666667
"300",25,8,"cov",0.76
"400",25,8,"cov",0.21
"500",25,8,"cov",0.763333333333333
"300",20,9,"cov",0.71
"400",20,9,"cov",0.516666666666667
"500",20,9,"cov",0.623333333333333
"300",25,9,"cov",0.61
"400",25,9,"cov",0.636666666666667
"500",25,9,"cov",0.693333333333333
"300",20,10,"cov",0.41
"400",20,10,"cov",0.563333333333333
"500",20,10,"cov",0.73
"300",25,10,"cov",0.556666666666667
"400",25,10,"cov",0.423333333333333
"500",25,10,"cov",0.196666666666667
